Word,Available,,TRUE,FALSE
abert,FALSE,,9322,3921
abiska,TRUE,,,
ablaze,FALSE,,,
able,FALSE,,,
abm,FALSE,,,
abomb,FALSE,,,
about,TRUE,,,
above,FALSE,,,
abroad,TRUE,,,
absorb,TRUE,,,
abuber,TRUE,,,
abuse,FALSE,,,
accent,FALSE,,,
accept,TRUE,,,
access,FALSE,,,
accuse,TRUE,,,
ace101,FALSE,,,
aceman,FALSE,,,
acerr,FALSE,,,
acetic,TRUE,,,
acg,FALSE,,,
achmed,TRUE,,,
acid,FALSE,,,
acidus,TRUE,,,
ackbar,TRUE,,,
ackers,TRUE,,,
ackkum,TRUE,,,
across,TRUE,,,
act,FALSE,,,
action,FALSE,,,
active,FALSE,,,
actor,FALSE,,,
actual,TRUE,,,
acube,TRUE,,,
ad,FALSE,,,
adapt,FALSE,,,
adarsh,TRUE,,,
add,FALSE,,,
added,TRUE,,,
addict,FALSE,,,
addon,FALSE,,,
adeana,TRUE,,,
ademar,TRUE,,,
adente,TRUE,,,
aderyn,TRUE,,,
adidas,FALSE,,,
adime,TRUE,,,
adjust,TRUE,,,
admire,FALSE,,,
admit,TRUE,,,
adopt,TRUE,,,
ads,FALSE,,,
adstar,TRUE,,,
adult,TRUE,,,
adumas,TRUE,,,
advice,FALSE,,,
advise,FALSE,,,
adware,TRUE,,,
aelani,TRUE,,,
aerith,TRUE,,,
aeross,TRUE,,,
afaict,TRUE,,,
afakaz,TRUE,,,
afextz,TRUE,,,
affair,TRUE,,,
affcot,TRUE,,,
affect,TRUE,,,
afford,FALSE,,,
afgani,FALSE,,,
afhgan,FALSE,,,
afllak,TRUE,,,
afraid,FALSE,,,
afroho,TRUE,,,
afroic,FALSE,,,
afshin,TRUE,,,
after,TRUE,,,
again,TRUE,,,
agcrew,TRUE,,,
age,FALSE,,,
ageism,TRUE,,,
agency,FALSE,,,
agenda,TRUE,,,
agent,FALSE,,,
aggnog,TRUE,,,
aggots,TRUE,,,
agiyut,TRUE,,,
ago,FALSE,,,
agrath,TRUE,,,
agraza,TRUE,,,
agree,TRUE,,,
agrey,TRUE,,,
agrip,TRUE,,,
agubua,TRUE,,,
ah,FALSE,,,
ahead,TRUE,,,
ahhfff,TRUE,,,
ahole,FALSE,,,
ahoui,TRUE,,,
ahroun,TRUE,,,
ahtah,TRUE,,,
ahuh,TRUE,,,
ahyes,TRUE,,,
aid,FALSE,,,
aide,FALSE,,,
AIDS,FALSE,,,
aiigh,TRUE,,,
aiight,TRUE,,,
aikago,TRUE,,,
aikido,FALSE,,,
aim,FALSE,,,
aimake,TRUE,,,
aimbot,TRUE,,,
aimbox,TRUE,,,
aimfag,TRUE,,,
aincha,TRUE,,,
aintya,TRUE,,,
air,FALSE,,,
airbat,TRUE,,,
airmac,TRUE,,,
aisle,TRUE,,,
aizzle,TRUE,,,
ajibit,TRUE,,,
ak74su,FALSE,,,
aka,FALSE,,,
akimbo,TRUE,,,
akroma,TRUE,,,
akryte,TRUE,,,
alamak,TRUE,,,
